customer_id,snapshot_date,age,income,credit_score,tenure_months,num_products,has_savings_account,has_checking_account,has_credit_card,has_mortgage,has_personal_loan,has_investment_account,employment_status,education_level,marital_status,num_dependents,owns_home,savings_balance,checking_balance,credit_card_balance,investment_balance,num_transactions_last_month,num_atm_withdrawals_last_month,num_online_transactions_last_month,num_pos_transactions_last_month,total_transaction_amount_last_month,avg_transaction_amount_last_month,num_deposits_last_month,total_deposit_amount_last_month,num_withdrawals_last_month,total_withdrawal_amount_last_month,num_bill_payments_last_month,total_bill_payment_amount_last_month,num_international_transactions_last_month,total_international_amount_last_month,num_customer_service_calls_last_month,num_branch_visits_last_month,num_mobile_logins_last_month,num_web_logins_last_month,credit_utilization,debt_to_income_ratio,months_since_last_product_purchase,num_products_purchased_last_year,email_open_rate_last_3_months,email_click_rate_last_3_months,sms_response_rate_last_3_months,avg_monthly_balance,balance_volatility,num_overdrafts_last_year,total_overdraft_fees_last_year,num_late_payments_last_year,has_direct_deposit,has_auto_pay_setup,num_failed_transactions_last_month,savings_growth_rate_last_6_months,cross_sell_score,risk_score,customer_lifetime_value,recency_score,frequency_score,monetary_score,target_product_acquired
602,2024-05-30,39,21065.864448171014,787.3886871017767,17,1,1,1,1,1,0,0,retired,bachelor,single,2,0,23884.702482092023,1737.8661456596403,1825.7837661289368,,26.0,5,16,26,1769.2953218378195,68.04982007068537,6,2301.3749100039713,5,22861.588990606277,12,2203.415501147236,1,29.88092151114627,1,0,15,2,0.2889008377543629,0.08667025132630887,19,0,0.3203700089546764,0.061922792240720254,0.2326963052308639,12811.284313875833,0.554119751799663,0,0,0,1,0,0,0.013526297712943367,54.57139659990915,26.591236642384004,16929.373549116124,17.712538727335563,57.80352908389684,61.8300194808893,0
6001,2024-04-30,26,13570.506040550532,796.9605442229577,22,3,1,1,0,1,0,0,unemployed,high_school,single,0,0,1003.6396340949908,6129.339027779504,0.0,,31.0,6,14,21,1144.2930551025158,36.91267919685535,2,4026.140345103511,4,1835.5753985375754,9,1510.7897143261728,2,,1,1,15,15,0.0,0.0,28,2,0.5979049155260193,0.030181323446936074,0.31719172582951777,3566.4893309372474,1.2264676950459221,0,0,0,1,0,0,,16.459889423275207,40.25154707898554,,44.6471896376139,48.38742424779254,65.06840341355665,0
4975,2024-05-30,42,16558.00945324313,779.6166338622337,114,2,1,1,0,0,0,1,employed,master,married,2,1,1046.2464111397323,2233.0797656618647,0.0,447470.83613334334,31.0,4,9,15,7034.502912386786,226.91944878667053,1,7211.069439029476,9,4503.736685118485,8,638.3007698665357,3,382.50101460451714,3,0,12,7,0.0,0.0,16,1,0.5091110842733652,,0.15747733930853092,1639.6630884007986,0.6879725852328216,1,35,0,1,0,0,0.17442322556463957,,16.538551572762998,82328.02523430703,81.33462449192206,10.04613583015314,44.530693058299,0
852,2024-05-30,24,27076.84084048371,780.9564309054865,6,5,1,1,1,0,0,0,employed,master,single,0,0,31853.405226161205,1705.8371931217341,2205.290949173051,0.0,,4,17,12,1541.7672978089772,61.67069191235909,1,7944.864760908466,3,1397.4479965298203,3,1666.5452312130283,0,,0,0,12,9,0.2714855057827166,0.08144565173481498,17,3,0.4535657658574607,0.23355675629557643,,16779.62120964147,0.28521131154336365,2,70,0,1,0,0,0.05361847675316919,,29.97987353308305,8632.51223366531,68.46087455861097,77.68947657188043,75.15833876198778,0
3838,2024-04-30,71,29782.487415805957,622.9615154514137,21,2,1,1,1,0,0,0,employed,master,single,3,0,204.34341862798263,368.386383462085,8854.712766998598,0.0,,3,14,21,3672.7960140272944,146.91184056109176,4,5267.450908477185,9,7275.0005552226885,10,8200.751993978965,1,92.4061826504738,2,3,12,5,0.9910424475715313,0.2973127342714593,12,1,0.17974841696257554,0.045848095855153384,0.2610466219836918,286.36490104503383,3.9885327519481386,1,35,1,1,0,1,,64.37997536792186,8.26814441310999,26312.20598705021,91.52593787649737,77.44308602653734,53.25735661665247,0
8732,2024-05-30,21,71162.72416170832,649.0757288940961,50,4,0,1,0,1,0,0,employed,high_school,divorced,0,0,0.0,395.1892657277156,0.0,0.0,22.0,3,15,16,2874.66241494042,130.66647340638272,0,4654.709999002771,10,10542.59357203458,4,1366.387582058346,0,,1,1,12,14,0.0,0.0,26,0,0.4042158214708742,0.23428830276622256,0.1621705532762149,197.5946328638578,0.8039970923608941,1,35,0,1,1,0,,11.845050477510217,37.484577244357276,,83.88497338861349,88.94943921094831,93.84786066016689,0
8162,2024-05-30,45,49381.75591864951,689.6332582565221,101,1,0,1,0,0,0,1,self_employed,phd,single,3,1,0.0,1166.2029512697618,0.0,1371.3710812973754,,3,19,23,4946.283257601075,164.87610858670251,4,12996.095170207038,10,319.6091054161543,7,6580.4743174474615,0,0.0,1,1,11,6,0.0,0.0,26,0,0.3337589869374428,0.025844220591450112,0.25258554508936276,583.1014756348809,2.0714319681407325,0,0,0,1,0,0,0.11594414323309053,2.4610170330554273,64.32937373130027,264111.3407003727,34.697047918357185,76.23457420889793,29.991744656541265,0
1095,2024-01-31,29,13256.063987977008,,35,1,1,1,0,0,0,0,employed,bachelor,married,3,0,3534.029681677796,728.7530912143565,0.0,0.0,20.0,8,14,21,14281.426713832228,714.0713356916115,2,6451.717851762155,6,2128.0377041537517,4,1020.2383472561237,0,,1,4,11,3,0.0,0.0,25,0,,0.12249879466219385,0.01275283604250046,2131.391386446076,1.105751475234833,0,0,0,1,1,0,-0.1012832296264848,14.776139280389147,41.13144724686805,25957.938468337295,84.94640433478295,35.13831917781058,33.45785731400033,0
6959,2024-05-30,23,22727.703568861863,532.3253489190159,65,3,0,1,0,0,0,0,employed,bachelor,single,1,0,0.0,1712.608954545284,0.0,0.0,15.0,5,14,21,1250.4029381344837,83.36019587563224,5,1743.6945104161634,8,1171.7246886692549,8,713.6165525745223,2,245.8940222961646,0,0,12,10,0.0,0.0,27,3,0.5667611024285388,0.19553063649966607,0.08283649766081694,856.304477272642,,0,0,1,1,1,0,0.0454414345021993,2.698880372065201,12.622451403313658,81366.57382963129,50.86583984301447,67.11865894233739,78.89233216869643,0
8763,2024-01-01,70,51047.3346785542,551.6894425954576,96,4,1,1,1,0,0,0,retired,bachelor,single,1,0,1705.2229876198824,122.26597592174664,251.15331550729536,0.0,26.0,2,16,17,3429.131054191755,131.8896559304521,3,6144.274647811518,5,4794.198603674901,4,3633.494034635972,1,39.48924011793941,0,0,11,3,0.016400028005955088,0.004920008401786526,10,0,0.188267998015874,0.06818220754739478,0.34546755158093057,913.7444817708144,0.5211624668645738,3,105,0,1,0,0,0.06491353111656487,,9.28979090760528,292472.06126909493,46.50570920458523,71.74995335032331,68.59677594961781,0
